time,target,q,dq,tau
0.0,10.0,0.0,0.0,0.0
0.01,10.628215181562567,0.05,5.0,500.0
0.02,11.255810390586268,0.14789107590781284,9.789107590781283,478.9107590781283
0.03,11.882166266370286,0.2915326407982367,14.364156489042383,457.5048898261099
0.04,12.506664671286085,0.4787632173274784,18.72305765292417,435.8901163881786
0.05,13.128689300804616,0.7074102434735889,22.864702614611055,414.16449616868863
0.06,13.747626291714493,0.9752989622917436,26.788871881815464,392.41692672044087
0.07,14.362864827930851,1.2802604458751965,30.49614835834529,370.7276476529828
0.08,14.973797743297096,1.6201388030105823,33.98783571353859,349.1687355193298
0.09,15.579822120784586,1.9927976191338623,37.26588161232799,327.80458987893985
0.1,16.18033988749895,2.396125676153068,40.33280570192055,306.69240895925634
0.11,16.77475840490583,2.828041998527082,43.191632237401436,285.88265354808857
0.12,17.36249105369356,3.286500270695589,45.845827216850665,265.4194979449229
0.13,17.94295781269561,3.7694926695622346,48.29923988666459,245.34126698139193
0.14,18.515585831301454,4.275053154257883,50.556048469564814,225.6808582900229
0.15,19.079809994790935,4.8012602538691835,52.62070996113012,206.46614915653038
0.16,19.635073482034308,5.346239392223963,54.49791383547798,187.7203874347864
0.17,20.180828315007425,5.908164787192317,56.19253949683535,169.46256613573735
0.18,20.71653589957993,6.48526096030291,57.70961731105937,151.70778142240192
0.19,21.24166755704261,7.07580389079883,59.05429304959194,134.46757385325736
0.2,21.755705045849464,7.678121846576376,60.23179557775464,117.75025281626961
0.21,22.258141073059527,8.290595922772534,61.24740761961572,101.56120418610806
0.22,22.748479794973793,8.91166031710051,62.10643943279764,85.90318131819242
0.23,23.22623730647304,9.539802369385056,62.81420522845452,70.77657956568771
0.24,23.690942118573773,10.173562391126586,63.37600217415306,56.17969456985395
0.25,24.14213562373095,10.8115333093312,63.79709182046135,42.10896463082872
0.26,24.579372548428232,11.45236014728735,64.08268379561508,28.55919751537408
0.27,25.002221392609194,12.094739363453591,64.23792161662402,15.523782100893186
0.28,25.410264855515784,12.737418068148985,64.26787046953942,2.9948852915399584
