time,joint,target,q,dq,tau
0.0,shoulder,0.0,0.0,0.0,0.0
0.0,elbow,3.67394039744206e-15,2.2043642384652358e-17,2.204364238465236e-15,2.204364238465236e-13
0.0,wrist,0.0,0.0,0.0,0.0
0.01,shoulder,0.3769811965005782,0.0015079247860023128,0.1507924786002313,15.079247860023129
0.01,elbow,-0.9423227723438398,-0.0056539366340629975,-0.5653936634063019,-56.539366340630416
0.01,wrist,0.9418577929397006,0.007534862343517606,0.7534862343517605,75.34862343517605
0.02,shoulder,0.7539028633001243,0.005904795343180929,0.4396870557178616,28.88945771176303
0.02,elbow,-1.8837155858794004,-0.02189777076751048,-1.624383413344748,-105.8989749938446
0.02,wrist,1.8799985034645639,0.028843855841040766,2.130899349752316,137.74131154005553
0.03,shoulder,1.1307054800980363,0.014449118994804677,0.8544323651623748,41.47453094445132
0.03,elbow,-2.823249399555423,-0.05300045457767174,-3.110268381016126,-148.5884967671378
0.03,wrist,2.810719718785869,0.06899841728251885,4.015456144147808,188.4556794395492
0.04,shoulder,1.5073295453930866,0.028281418459891655,1.3832299465086977,52.879758134632276
0.04,elbow,-3.7599970069291286,-0.1026127956447224,-4.961234106705065,-185.09657256889392
0.04,wrist,3.730348307472822,0.13201904801488284,6.3020630732364005,228.6606929088593
0.05,shoulder,1.8837155858794012,0.04842887063744972,2.014745217755806,63.15152712471081
0.05,elbow,-4.693033951206922,-0.17381418271710017,-7.1201387072377775,-215.8904600532712
0.05,wrist,4.635254915624211,0.22098226477094324,8.896321675606039,259.42586023696384
0.06,shoulder,2.2598041658379815,0.07581002782160526,2.7381157184155542,72.33705006597484
0.06,elbow,-5.62143943757173,-0.2691571548699204,-9.534297215282022,-241.41585080442445
0.06,wrist,5.521868290270168,0.3381184550500278,11.713619027908454,281.7297352302414
0.07,shoulder,2.6355358965222955,0.11123959590583113,3.542956808422586,80.48410900070317
0.07,elbow,-6.544297241896276,-0.3907098108865603,-12.155265601663992,-262.096838638197
0.07,wrist,6.386689373476091,0.4849014222318673,14.678296718183951,296.46776902754976
0.08,shoulder,3.010851445536447,0.15543324594184138,4.419365003601025,87.64081951784395
0.08,elbow,-7.460696614945637,-0.5400960690055578,-14.938625811899758,-278.3360210235767
0.08,wrist,7.22630511152573,0.6621303441789633,17.72289219470961,304.4595476525658
0.09,shoulder,3.3856915462044506,0.20901243717602125,5.357919123417987,93.85541198169616
0.09,elbow,-8.369733181176878,-0.7185337988233036,-17.843772981774578,-290.5147169874821
0.09,wrist,8.03740192468495,0.8700048112585719,20.78744670796086,306.4554513251252
0.1,shoulder,3.7599970069291277,0.27250923139047917,6.34967942144579,99.17602980278036
0.1,elbow,-9.270509831248418,-0.9268708572574706,-20.8337058434167,-298.993286164212
0.1,wrist,8.816778784387097,1.1081935553904714,23.818874413189942,303.1427705229082
0.11,shoulder,4.1337087205391425,0.3463710800243751,7.386184863389593,103.6505441943802
0.11,elbow,-10.162137607358734,-1.1656190691801451,-23.87482119226745,-304.11153488507534
0.11,wrist,9.561359846230344,1.3758974307879859,26.77038753975145,295.15131265615076
0.12,shoulder,4.506767673622712,0.4309655671419527,8.45944871175776,107.32638483681673
0.12,elbow,-11.043736580540337,-1.4349862007402598,-26.93671315601147,-306.18919637440206
0.12,wrist,10.26820658893033,1.671907159387037,29.60097285990509,283.05853201536416
0.13,shoulder,4.879114955846507,0.5265850928449424,9.561952570298962,110.2503858541201
0.13,elbow,-11.914436719043412,-1.7349059796229798,-29.991977888271986,-305.5264732260515
0.13,wrist,10.934529411321174,1.9946563094257128,32.274915003867584,267.39421439624937
0.14,shoulder,5.250691769258282,0.6334514831973461,10.68663903524038,112.46864649414188
0.14,elbow,-12.77337874695218,-2.0650662216437485,-33.01602420207687,-302.4046313804881
0.14,wrist,11.557698641636838,2.3422699341158895,34.76136246901767,248.6447465150087
